Year,TVOC,BTEX,Benzene,Toluene,Ethylbenzene,Xylene
2012,0,0,0,0,0,0
2013,0,0,0,0,0,0
2014,0,0,0,0,0,0
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,2326.359,4.004,0.933,2.022,0.24,0.809
2022,2424.056,4.962,0.982,2.768,0.26,0.952
2023,2441.841,4.848,0.908,2.619,0.267,1.054
2024,2374.002,6.917,1.102,2.757,0.541,2.517
