,Year,summed_COOPS,BTEX,Xylene,1-Butene,1-Dodecene,1-Heptene,1-Hexene,1-Nonene,1-Octene,1-Pentene,1-Tridecene,1-Undecene,"1,2,3-Trimethylbenzene","1,2,4-Trimethylbenzene","1,3-Butadiene","1,3,5-Trimethylbenzene",MEK,2-Ethyl-1-butene,2-Methyl-1-butene,2-Methyl-1-pentene,2-Methyl-2-butene,2-Methylheptane,2-Methylhexane,2-Methylpentane,"2,2-Dimethylbutane","2,2,3-Trimethylpentane","2,2,4-Trimethylpentane","2,3-Dimethylbutane","2,3-Dimethylpentane","2,3,4-Trimethylpentane","2,4-Dimethylpentane",3-Methyl-1-butene,3-Methylheptane,3-Methylhexane,3-Methylpentane,4-Methyl-1-pentene,Acetaldehyde,Acetone,Acetylene,Acrolein,Benzaldehyde,Benzene,Butyraldehyde,cis-2-Butene,cis-2-Hexene,cis-2-Pentene,Crotonaldehyde,Cyclohexane,Cyclopentane,Cyclopentene,Ethane,Ethylbenzene,Ethylene,Formaldehyde,Hexaldehyde,Isobutane,Isobutylene,Isopentane,Isoprene,Isopropylbenzene,m-Diethylbenzene,m-Ethyltoluene,m-Tolualdehyde,m/p-Xylenes,Methacrolein,Methane,Methylcyclohexane,Methylcyclopentane,n-Butane,n-Decane,n-Dodecane,n-Heptane,n-Hexane,n-Nonane,n-Octane,n-Pentane,n-Propylbenzene,n-Tridecane,n-Undecane,o-Ethyltoluene,o-Xylene,p-Diethylbenzene,p-Ethyltoluene,Propane,Propionaldehyde,Propylene,Propyne,Styrene,Toluene,trans-2-Butene,trans-2-Hexene,trans-2-Pentene,Valeraldehyde,alpha-pinene,beta-pinene
0,2021,2326.187999999999,3.487,0.292,,0.346,0.31,0.208,0.28,0.26,0.279,0.032,0.112,0.014,0.634,0.012,0.1,,0.0,0.053,0.0,0.064,0.224,0.937,2.265,0.073,0.004,0.197,0.221,0.229,0.019,0.124,0.0,0.156,0.92,0.895,0.026,,,0.81,,,0.933,,0.035,0.002,0.005,,0.731,0.426,0.015,26.189,0.24,1.716,,,5.129,0.95,1.108,0.332,0.004,0.0,0.119,,,,2220.0,0.75,1.178,14.287,0.495,0.195,0.783,2.094,0.36,0.531,6.892,0.068,0.051,0.324,0.043,0.292,0.011,0.095,26.299,,0.659,0.006,0.089,2.022,0.15,0.0,0.078,,0.321,0.377
1,2022,2423.3740000000016,4.279999999999999,0.27,0.292,0.168,0.406,0.216,0.21,0.251,0.27,0.025,0.088,0.022,0.589,0.049,0.12,,0.0,0.071,0.004,0.086,0.345,0.79,2.464,0.096,0.005,0.219,0.276,0.63,0.057,0.144,0.014,0.17,2.146,1.211,0.138,,,1.093,,,0.982,,0.052,0.003,0.019,,0.79,0.534,0.051,30.455,0.26,1.935,,,6.522,0.395,7.289,0.228,0.007,0.0,0.11,,,,2289.828,0.938,1.236,17.826,0.376,0.144,1.005,2.506,0.361,0.523,7.994,0.108,0.056,0.255,0.023,0.27,0.011,0.088,33.155,,0.776,0.001,0.007,2.768,0.07,0.168,0.092,,0.166,0.326
2,2023,2441.0919999999987,4.099,0.305,0.21,0.163,0.33,0.164,0.222,0.191,0.192,0.048,0.075,0.035,0.533,0.057,0.161,,0.0,0.059,0.009,0.04,0.307,0.494,1.83,0.179,0.006,0.27,0.263,0.492,0.069,0.151,0.026,0.174,1.743,1.526,0.086,,,0.95,,,0.908,,0.041,0.002,0.021,,0.695,0.559,0.004,27.405,0.267,1.778,,,6.034,0.275,7.723,0.225,0.018,0.011,0.184,,,,2314.464,0.852,1.115,16.475,0.942,0.355,1.006,2.4,0.47,0.561,10.086,0.089,0.17,0.497,0.048,0.305,0.019,0.13,28.866,,0.661,0.0,0.136,2.619,0.013,0.212,0.084,,0.974,0.338
3,2024,2372.2149999999997,5.111000000000001,0.711,0.177,0.077,0.296,0.155,0.208,0.189,0.287,0.04,0.076,0.249,1.231,0.055,0.349,,0.0,0.063,0.025,0.082,0.434,0.602,1.67,0.106,0.0,0.222,0.262,0.276,0.152,0.177,0.018,0.249,1.224,1.711,0.072,,,1.233,,,1.102,,0.052,0.036,0.029,,0.693,0.492,0.021,32.374,0.541,2.007,,,6.377,0.259,5.533,0.032,0.041,0.069,0.659,,,,2241.875,0.875,1.049,16.237,0.692,0.268,1.111,2.369,0.529,0.716,6.363,0.194,0.084,0.264,0.268,0.711,0.0,0.344,32.076,,0.679,0.0,0.018,2.757,0.036,0.091,0.082,,0.104,0.139
