Year,TVOC,BTEX,Benzene,Toluene,Ethylbenzene,Xylene
2012,0,0,0,0,0,0
2013,0,0,0,0,0,0
2014,0,0,0,0,0,0
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,2232.116,7.187,2.286,2.829,0.286,1.786
2020,2139.547,8.901,1.764,4.227,0.559,2.351
2021,2380.867,6.602,1.476,3.142,0.388,1.596
2022,2438.364,8.387,1.592,3.937,0.585,2.273
2023,2507.766,9.057,1.348,5.348,0.453,1.908
2024,2464.567,11.689,1.807,6.003,0.742,3.137
