,Year,summed_COOPS,BTEX,Xylene,1-Butene,1-Dodecene,1-Heptene,1-Hexene,1-Nonene,1-Octene,1-Pentene,1-Tridecene,1-Undecene,"1,2,3-Trimethylbenzene","1,2,4-Trimethylbenzene","1,3-Butadiene","1,3,5-Trimethylbenzene",MEK,2-Ethyl-1-butene,2-Methyl-1-butene,2-Methyl-1-pentene,2-Methyl-2-butene,2-Methylheptane,2-Methylhexane,2-Methylpentane,"2,2-Dimethylbutane","2,2,3-Trimethylpentane","2,2,4-Trimethylpentane","2,3-Dimethylbutane","2,3-Dimethylpentane","2,3,4-Trimethylpentane","2,4-Dimethylpentane",3-Methyl-1-butene,3-Methylheptane,3-Methylhexane,3-Methylpentane,4-Methyl-1-pentene,Acetaldehyde,Acetone,Acetylene,Acrolein,Benzaldehyde,Benzene,Butyraldehyde,cis-2-Butene,cis-2-Hexene,cis-2-Pentene,Crotonaldehyde,Cyclohexane,Cyclopentane,Cyclopentene,Ethane,Ethylbenzene,Ethylene,Formaldehyde,Hexaldehyde,Isobutane,Isobutylene,Isopentane,Isoprene,Isopropylbenzene,m-Diethylbenzene,m-Ethyltoluene,m-Tolualdehyde,m/p-Xylenes,Methacrolein,Methane,Methylcyclohexane,Methylcyclopentane,n-Butane,n-Decane,n-Dodecane,n-Heptane,n-Hexane,n-Nonane,n-Octane,n-Pentane,n-Propylbenzene,n-Tridecane,n-Undecane,o-Ethyltoluene,o-Xylene,p-Diethylbenzene,p-Ethyltoluene,Propane,Propionaldehyde,Propylene,Propyne,Styrene,Toluene,trans-2-Butene,trans-2-Hexene,trans-2-Pentene,Valeraldehyde,alpha-pinene,beta-pinene
0,2020,2137.8520000000003,7.206,0.656,0.059,,,0.081,,,0.276,,,0.127,0.32,0.044,0.153,,,,,,0.349,0.585,2.719,0.315,,0.849,0.571,0.488,0.203,0.38,,0.319,0.931,1.649,,,,2.395,,,1.764,,0.01,,0.066,,1.1,0.79,,40.102,0.559,2.341,,,7.742,,9.515,0.188,0.058,0.047,0.212,,,,1981.525,1.164,1.576,19.976,0.444,0.163,1.398,3.195,0.419,0.614,8.731,0.076,,0.331,0.21,0.656,0.071,0.103,34.422,,0.717,,0.237,4.227,0.022,,0.093,,0.144,0.031
1,2021,2379.756999999999,5.491999999999999,0.486,0.167,0.441,0.398,0.149,0.211,0.241,0.377,0.023,0.058,0.063,0.735,0.058,0.119,,0.0,0.287,0.013,0.088,0.345,1.361,3.518,0.219,0.001,0.367,0.52,0.434,0.115,0.273,0.001,0.256,1.257,1.647,0.0,,,1.684,,,1.476,,0.071,0.001,0.016,,1.163,0.633,0.002,35.091,0.388,2.536,,,7.814,0.0,10.844,0.316,0.002,0.176,0.325,,,,2223.621,1.268,1.796,20.567,0.366,0.199,1.353,3.648,0.341,0.664,9.314,0.129,0.04,0.389,0.093,0.486,0.019,0.176,34.008,,0.869,0.006,0.22,3.142,0.158,0.004,0.131,,0.219,0.251
2,2022,2436.7199999999993,6.743,0.629,0.361,0.414,0.571,0.207,0.298,0.326,0.56,0.035,0.092,0.086,1.154,0.1,0.379,,0.0,0.161,0.031,0.16,0.555,1.326,3.789,0.281,0.0,0.444,0.644,0.756,0.172,0.32,0.04,0.373,2.753,2.268,0.052,,,1.935,,,1.592,,0.122,0.016,0.071,,1.306,0.704,0.099,29.582,0.585,2.912,,,6.863,0.543,9.79,0.36,0.023,0.013,0.633,,,,2285.167,1.731,2.02,17.673,0.791,0.382,1.9,4.208,0.622,0.983,9.776,0.283,0.075,0.724,0.198,0.629,0.04,0.365,27.545,,1.057,0.002,0.018,3.937,0.159,0.119,0.17,,0.162,0.127
3,2023,2506.3769999999986,7.668,0.519,0.255,0.119,0.438,0.171,0.24,0.258,0.585,0.045,0.087,0.088,0.704,0.09,0.23,,0.0,0.141,0.018,0.121,0.424,0.888,2.735,0.283,0.0,0.476,0.522,0.793,0.144,0.297,0.051,0.293,2.381,2.306,0.046,,,1.478,,,1.348,,0.106,0.013,0.064,,1.253,0.613,0.016,29.044,0.453,2.583,,,6.475,0.325,8.841,0.269,0.031,0.022,0.354,,,,2368.644,1.337,1.602,16.078,0.531,0.224,1.513,3.584,0.44,0.722,8.406,0.159,0.055,0.341,0.142,0.519,0.026,0.23,25.834,,0.898,0.003,0.028,5.348,0.085,0.133,0.183,,0.596,0.199
4,2024,2462.2879999999996,9.41,0.858,0.317,0.247,0.426,0.178,0.276,0.237,0.593,0.048,0.191,0.314,1.795,0.155,0.425,,0.0,0.184,0.056,0.163,0.412,0.966,2.521,0.243,0.0,0.591,0.493,0.676,0.224,0.324,0.067,0.309,2.025,1.821,0.008,,,2.724,,,1.807,,0.158,0.022,0.099,,1.243,0.562,0.038,39.875,0.742,4.212,,,12.078,0.433,8.276,0.068,0.055,0.078,0.702,,,,2298.125,1.33,1.446,16.98,1.874,0.522,1.501,3.133,0.481,0.694,8.853,0.285,0.114,0.666,0.316,0.858,0.091,0.403,26.506,,1.233,0.005,0.202,6.003,0.156,0.288,0.249,,0.31,0.207
